customer_id,full_name,email,tier,region,channel,total_orders,total_spent,last_order_date,days_since_order,first_order_date,churn_status
CUST-1248,Jennifer Gonzales,carlabruce@example.com,Bronze,Davao,Both,4,21878.0,2023-02-28,1098,2023-01-07,High Value Churned
CUST-1121,Jessica Williams,bgibson@example.net,Silver,Cagayan de Oro,Both,8,21769.76,2024-08-29,550,2023-07-24,High Value Churned
CUST-1400,Bradley Wright,dolson@example.net,Silver,Cebu,In-Store,4,20943.38,2024-03-11,721,2023-04-20,High Value Churned
CUST-1196,Kelsey Watson,christinarichardson@example.com,Bronze,Laguna,Both,9,20691.99,2024-07-27,583,2023-02-08,High Value Churned
CUST-1361,Michelle Collins,htodd@example.com,Bronze,Pampanga,Online,8,20070.39,2023-10-08,876,2023-01-01,High Value Churned
CUST-1230,Scott Chavez,carlos92@example.com,Silver,Davao,Both,7,20011.76,2024-08-15,564,2023-01-30,High Value Churned
CUST-1364,Joseph Nelson,scott19@example.net,Bronze,Pampanga,Online,3,20007.26,2024-03-14,718,2023-05-09,High Value Churned
CUST-1334,Jon Stafford,patriciaflores@example.org,Bronze,Pampanga,Online,4,19956.7,2024-06-07,633,2023-01-17,High Value Churned
CUST-1174,Jessica Wheeler,autumnrobertson@example.org,Bronze,NCR,In-Store,9,19353.98,2024-06-26,614,2023-04-14,High Value Churned
CUST-1332,Lawrence Mullins,wgomez@example.net,Bronze,Cebu,Online,7,19105.72,2024-03-14,718,2023-01-04,High Value Churned
CUST-1113,Karen Wiggins,lawrence59@example.com,Silver,Davao,Online,8,18958.92,2024-09-13,535,2023-01-13,High Value Churned
CUST-1212,Matthew Henderson,vrodriguez@example.com,Silver,NCR,Online,3,18863.94,2023-11-17,836,2023-02-09,High Value Churned
CUST-1104,Tracey Martin,nschwartz@example.net,Bronze,Batangas,Online,3,18645.56,2023-09-08,906,2023-03-24,High Value Churned
CUST-1284,Timothy Sanders,cynthiahines@example.net,Gold,Iloilo,Online,6,18362.88,2024-08-28,551,2023-04-05,High Value Churned
CUST-1224,Eric Nichols,eric63@example.org,Silver,Cebu,In-Store,5,18359.79,2024-02-19,742,2023-04-01,High Value Churned
CUST-1353,James Moore,thomas62@example.net,Platinum,NCR,Online,5,18354.16,2023-06-14,992,2023-01-05,High Value Churned
CUST-1308,Andrew Lawson,jordanwright@example.com,Gold,NCR,Both,6,18335.41,2023-06-21,985,2023-01-12,High Value Churned
CUST-1302,Michelle Buckley,katherine54@example.org,Gold,Davao,In-Store,4,18138.67,2023-04-27,1040,2023-03-20,High Value Churned
CUST-1092,Theodore Williams,cmueller@example.com,Bronze,Davao,Online,8,17667.7,2024-09-11,537,2023-01-07,High Value Churned
CUST-1118,Joseph Lopez,deanna29@example.org,Silver,Iloilo,Both,5,17529.57,2024-04-26,675,2023-02-09,High Value Churned
CUST-1344,Michael Moran,stephenmay@example.net,Bronze,Laguna,Online,3,17334.73,2024-02-24,737,2023-03-07,High Value Churned
CUST-1320,Ray Ross,susanharrell@example.org,Gold,Cagayan de Oro,Online,5,17305.38,2024-07-02,608,2023-02-15,High Value Churned
CUST-1024,Kimberly Boyd,danielle73@example.org,Bronze,Cebu,In-Store,4,16964.93,2024-05-27,644,2023-12-07,High Value Churned
CUST-1321,Kelly Willis,allenjoseph@example.org,Silver,Batangas,In-Store,2,16665.44,2023-12-24,799,2023-12-06,At Risk
CUST-1105,Jennifer Cox,suttonmelissa@example.com,Bronze,Batangas,Both,3,16036.94,2024-09-23,525,2024-06-03,High Value Churned
CUST-1397,Jeffrey Wells,sandovalsheri@example.org,Silver,Iloilo,Online,2,15717.37,2024-08-26,553,2023-01-23,At Risk
CUST-1268,Rachel Simon,richard47@example.org,Silver,NCR,Both,5,15429.17,2024-09-16,532,2023-05-05,High Value Churned
CUST-1221,James Phillips,tamara65@example.org,Bronze,Batangas,In-Store,3,15366.6,2024-08-01,578,2024-01-06,High Value Churned
CUST-1275,Joshua Holland,spearsmichael@example.org,Bronze,Batangas,In-Store,1,15364.1,2024-02-03,758,2024-02-03,Slipping Away
CUST-1018,Kelsey Griffin,travis17@example.net,Silver,Pampanga,Both,3,15063.63,2024-09-29,519,2023-04-24,High Value Churned
CUST-1228,Mark Bright,barbara37@example.net,Bronze,Unknown,Online,1,14587.1,2023-01-28,1129,2023-01-28,Slipping Away
CUST-1363,Karen Lewis,mary27@example.org,Platinum,Davao,Online,4,14219.21,2024-09-24,524,2023-04-13,High Value Churned
CUST-1283,Brandy Macdonald,danielalvarez@example.net,Bronze,Iloilo,In-Store,6,13989.44,2023-08-19,926,2023-02-26,High Value Churned
CUST-1188,Steve Freeman,briannabarnes@example.net,Bronze,Cagayan de Oro,In-Store,1,13794.89,2023-05-06,1031,2023-05-06,Slipping Away
CUST-1072,Heather Hill,arthur32@example.org,Platinum,Cebu,Online,3,13644.19,2024-07-05,605,2023-04-17,High Value Churned
CUST-1070,Peter Baker,nathaniel01@example.net,Bronze,Iloilo,In-Store,4,13622.22,2023-10-26,858,2023-07-02,High Value Churned
CUST-1307,Robert Ryan,colemarvin@example.org,Gold,Pampanga,Both,5,13532.62,2023-06-27,979,2023-02-22,High Value Churned
CUST-1164,Amy Gibson DVM,valdezsamuel@example.com,Bronze,NCR,Both,2,13465.71,2024-02-14,747,2023-04-30,At Risk
CUST-1031,Kevin Taylor,rrodriguez@example.net,Bronze,Pampanga,Online,7,13414.11,2024-05-04,667,2023-02-07,High Value Churned
CUST-1240,Kimberly Clay,cstevens@example.com,Bronze,Pampanga,Both,1,13164.64,2024-01-20,772,2024-01-20,Slipping Away
CUST-1203,Elizabeth Munoz,jasonarmstrong@example.net,Platinum,Laguna,Online,5,13134.81,2023-08-15,930,2023-01-07,High Value Churned
CUST-1339,Deanna Moore,james41@example.net,Silver,Iloilo,Online,2,12774.9,2024-01-04,788,2023-07-28,At Risk
CUST-1241,Matthew Gomez,richardsonrenee@example.net,Gold,Davao,Both,1,12636.72,2024-08-02,577,2024-08-02,Slipping Away
CUST-1348,Sandra Cole,steven42@example.com,Silver,NCR,Online,3,12495.72,2024-03-22,710,2023-10-21,High Value Churned
CUST-1056,Erica Chandler,grahamgloria@example.com,Gold,Iloilo,Online,2,12454.37,2023-06-14,992,2023-06-01,At Risk
CUST-1195,Tiffany Lara,johncrawford@example.org,Platinum,Pampanga,Both,2,12404.5,2024-01-25,767,2023-03-28,At Risk
CUST-1352,Rebecca Burns,milesteresa@example.org,Platinum,NCR,Both,3,12207.35,2024-08-12,567,2023-06-12,High Value Churned
CUST-1066,Joseph Baker,dwatson@example.net,Bronze,Pampanga,In-Store,1,12194.37,2024-06-09,631,2024-06-09,Slipping Away
CUST-1061,Jennifer Brennan,heathersmith@example.org,Bronze,NCR,Online,3,12155.1,2023-11-12,841,2023-06-01,High Value Churned
CUST-1368,Rebecca Moore,ericbishop@example.org,Bronze,Iloilo,In-Store,2,12110.58,2023-08-18,927,2023-05-03,At Risk
CUST-1327,Daniel Hoffman,petersonkimberly@example.com,Silver,Batangas,Online,4,12067.0,2024-05-26,645,2023-04-24,High Value Churned
CUST-1011,Patty Cordova,xmercer@example.net,Gold,NCR,Online,2,11862.9,2024-05-31,640,2024-01-10,At Risk
CUST-1292,Lori Silva,jessica61@example.com,Bronze,Laguna,Both,3,11682.19,2024-09-29,519,2023-04-05,High Value Churned
CUST-1097,Cheryl Hill,kgrimes@example.net,Gold,NCR,Online,2,11609.56,2023-08-03,942,2023-04-07,At Risk
CUST-1366,Melissa Adkins,kkim@example.org,Silver,Batangas,In-Store,5,11569.89,2024-04-20,681,2023-04-11,High Value Churned
CUST-1111,Clifford Gonzales,pamelabuck@example.com,Silver,Davao,Both,1,11527.32,2023-12-23,800,2023-12-23,Slipping Away
CUST-1229,Yolanda Hurley DDS,tramirez@example.com,Silver,NCR,Both,4,10892.55,2023-11-02,851,2023-02-07,High Value Churned
CUST-1039,Connor Greene,landrychristopher@example.com,Silver,NCR,In-Store,2,10838.46,2024-03-13,719,2023-07-20,At Risk
CUST-1314,Jeffrey Maxwell,carrcarolyn@example.net,Bronze,Laguna,Online,4,10649.17,2024-03-20,712,2023-03-21,High Value Churned
CUST-1064,Kaitlyn Schultz,moorejared@example.org,Bronze,Iloilo,In-Store,2,10552.23,2023-08-12,933,2023-04-29,At Risk
CUST-1219,Tina Savage,raymondtorres@example.net,Bronze,Batangas,In-Store,1,10456.3,2023-07-01,975,2023-07-01,Slipping Away
CUST-1045,Alexander Marshall,danielsjohn@example.org,Bronze,Cagayan de Oro,Online,3,10335.07,2024-01-06,786,2023-01-27,High Value Churned
CUST-1042,Gregory Little,paulmay@example.net,Silver,NCR,Both,2,10190.45,2023-03-01,1097,2023-01-05,At Risk
CUST-1294,Adam Gibson,tracythompson@example.com,Gold,Batangas,Online,1,10169.92,2023-01-13,1144,2023-01-13,Slipping Away
CUST-1013,Tonya Wilson,josephmartin@example.com,Bronze,Pampanga,In-Store,4,10148.4,2024-09-23,525,2023-10-16,High Value Churned
CUST-1381,Monica Galvan,moorekelsey@example.org,Bronze,Laguna,Both,1,10140.66,2023-08-31,914,2023-08-31,Slipping Away
CUST-1010,Trevor Cruz,iwiley@example.net,Bronze,Unknown,Online,4,10102.95,2024-09-17,531,2023-05-11,High Value Churned
CUST-1200,Catherine Robinson,whitejill@example.com,Silver,Davao,Online,1,10013.5,2024-03-09,723,2024-03-09,Slipping Away
CUST-1340,Nicole Martinez,micheleestrada@example.net,Bronze,Laguna,Both,6,9997.05,2023-05-03,1034,2023-01-01,At Risk
CUST-1222,Sally Finley,markbishop@example.org,Bronze,NCR,Both,4,9966.5,2024-08-30,549,2023-02-07,At Risk
CUST-1149,Sarah Oneill,alfred68@example.com,Silver,Cebu,In-Store,2,9951.64,2024-01-23,769,2024-01-09,At Risk
CUST-1068,Jessica Diaz,watsonsara@example.net,Bronze,Laguna,In-Store,4,9909.8,2024-09-10,538,2023-02-17,At Risk
CUST-1351,Tonya Graham,harnold@example.org,Bronze,NCR,In-Store,4,9903.38,2023-06-14,992,2023-03-30,At Risk
CUST-1227,Mary Howell,leah77@example.net,Bronze,Iloilo,Online,3,9901.87,2023-07-29,947,2023-04-19,At Risk
CUST-1012,Denise Garcia,michaelharrington@example.org,Silver,Pampanga,Online,4,9788.14,2024-06-15,625,2023-01-07,At Risk
CUST-1257,Brian Thomas,znorris@example.net,Silver,Pampanga,Both,2,9456.71,2023-09-04,910,2023-06-06,At Risk
CUST-1378,Jessica Young,gina07@example.com,Bronze,Laguna,Online,3,9385.38,2024-03-04,728,2023-05-02,At Risk
CUST-1103,Kevin Hawkins,davidsondavid@example.com,Bronze,Laguna,In-Store,3,9345.26,2024-09-02,546,2023-07-10,At Risk
CUST-1007,Tim Wilson,gvillegas@example.org,Bronze,Batangas,Both,2,9194.33,2024-01-12,780,2023-08-31,At Risk
CUST-1289,Daniel Arnold,markwilliamson@example.org,Silver,Batangas,Both,1,9020.24,2023-02-17,1109,2023-02-17,Slipping Away
CUST-1055,Blake Stephens,rsmith@example.net,Bronze,Unknown,Both,3,8899.31,2023-10-15,869,2023-02-25,At Risk
CUST-1399,William Mccarty,tholmes@example.org,Bronze,Davao,Both,2,8891.54,2023-08-30,915,2023-03-15,At Risk
CUST-1216,Alexandra Wilson,oliverdavid@example.org,Bronze,Davao,In-Store,1,8804.92,2023-05-20,1017,2023-05-20,Slipping Away
CUST-1186,Tracy Crane,zachary87@example.net,Platinum,Pampanga,Online,3,8657.55,2024-06-30,610,2023-07-08,At Risk
CUST-1048,Thomas Brown,williamsamy@example.com,Silver,Iloilo,Online,1,8565.39,2023-09-18,896,2023-09-18,Slipping Away
CUST-1160,Amanda Rivera,nancy42@example.com,Gold,Batangas,In-Store,3,8531.86,2024-06-12,628,2023-06-11,At Risk
CUST-1380,Jeffrey White MD,baileykelly@example.org,Platinum,NCR,Online,3,8527.29,2024-02-20,741,2023-01-29,At Risk
CUST-1215,Timothy Johnson,kchen@example.org,Bronze,Davao,In-Store,3,8527.09,2024-04-01,700,2023-02-20,At Risk
CUST-1175,Michelle Jackson,uvalentine@example.org,Gold,Pampanga,Online,3,8465.66,2024-03-02,730,2023-04-25,At Risk
CUST-1115,Adam Mckee,melissawilliams@example.com,Silver,Pampanga,Online,2,8457.6,2023-09-20,894,2023-08-19,At Risk
CUST-1373,Sandra Henderson,hunterchristina@example.org,Bronze,Iloilo,In-Store,2,8432.83,2023-06-02,1004,2023-04-25,At Risk
CUST-1001,Erika Allen,carterstephanie@example.net,Bronze,Batangas,Online,4,8399.68,2024-07-14,596,2023-07-08,At Risk
CUST-1383,Miguel Silva V,christopherbailey@example.org,Silver,Cebu,Both,3,8343.39,2023-09-13,901,2023-03-29,At Risk
CUST-1201,Brandon Owens,knightsteven@example.net,Silver,Unknown,Online,2,8330.62,2024-02-11,750,2023-08-22,At Risk
CUST-1074,Randy Hill,roberteverett@example.org,Platinum,NCR,In-Store,2,8304.24,2024-08-25,554,2023-11-30,At Risk
CUST-1306,Carly Patterson,chelsealong@example.net,Silver,Laguna,Online,3,8289.18,2024-04-11,690,2023-04-12,At Risk
CUST-1166,Jon Lee,peter68@example.com,Bronze,Cebu,In-Store,2,8225.53,2024-04-22,679,2024-04-06,At Risk
CUST-1293,Paul Lopez,qjohnson@example.com,Silver,Pampanga,Online,3,7910.19,2024-08-31,548,2023-04-02,At Risk
CUST-1358,Dr. Amber Dominguez MD,andrewsavage@example.net,Gold,Laguna,Both,3,7878.91,2024-07-02,608,2023-02-05,At Risk
CUST-1131,Kenneth Williamson,noneill@example.com,Gold,NCR,In-Store,2,7727.54,2024-02-02,759,2023-08-04,At Risk
CUST-1343,Kent Jones,michaelpatterson@example.net,Bronze,Cebu,Both,2,7723.86,2023-06-15,991,2023-02-21,At Risk
CUST-1329,Joseph Hensley,crystal65@example.org,Platinum,NCR,Online,3,7635.61,2024-09-19,529,2023-01-17,At Risk
CUST-1312,Teresa Robinson,whill@example.com,Silver,Cebu,Online,4,7577.33,2024-08-14,565,2023-03-19,At Risk
CUST-1256,Carlos Anderson,cassandra18@example.org,Gold,Batangas,In-Store,3,7511.04,2024-09-20,528,2023-08-08,At Risk
CUST-1078,Katie Guerra,kwolf@example.org,Bronze,Davao,Both,1,7450.66,2024-07-28,582,2024-07-28,Slipping Away
CUST-1325,Darrell Ryan,srobinson@example.net,Gold,Pampanga,Both,3,7305.2,2024-03-01,731,2023-01-11,At Risk
CUST-1179,Christina Padilla,ana01@example.com,Bronze,Davao,In-Store,3,7274.28,2024-05-20,651,2023-04-09,At Risk
CUST-1040,Carlos Pierce,catherine02@example.com,Silver,Cagayan de Oro,Online,2,7256.55,2023-12-11,812,2023-07-12,At Risk
CUST-1035,Raven Riddle,clinton63@example.com,Platinum,Laguna,Online,3,7137.84,2024-08-07,572,2024-02-25,At Risk
CUST-1279,Pamela Lawrence,amanda63@example.net,Bronze,NCR,Both,3,7066.15,2024-08-27,552,2023-03-02,At Risk
CUST-1184,Christopher Fields,cvazquez@example.com,Silver,Laguna,Both,1,7041.05,2023-03-01,1097,2023-03-01,Slipping Away
CUST-1326,Daniel Thomas,michaelobrien@example.net,Bronze,Cagayan de Oro,In-Store,1,7040.36,2024-02-03,758,2024-02-03,Slipping Away
CUST-1059,Jason Bush,carolyn19@example.com,Silver,Cagayan de Oro,In-Store,2,6876.49,2024-01-03,789,2023-04-20,At Risk
CUST-1085,Gabriel Roach,fprice@example.com,Silver,Batangas,In-Store,1,6868.68,2023-04-26,1041,2023-04-26,Slipping Away
CUST-1303,Amanda Thomas,ytorres@example.org,Silver,Pampanga,Both,4,6847.91,2024-05-31,640,2023-02-25,At Risk
CUST-1342,Alex Benson,darren68@example.net,Bronze,Pampanga,Both,4,6795.68,2024-09-04,544,2023-06-22,At Risk
CUST-1384,Todd Middleton,xhorn@example.com,Bronze,Batangas,Both,1,6674.38,2023-06-17,989,2023-06-17,Slipping Away
CUST-1244,Sarah Shelton,ramirezrachel@example.net,Silver,Batangas,Both,4,6672.92,2023-03-10,1088,2023-01-28,At Risk
CUST-1265,Daniel Johnson,bsolomon@example.com,Silver,Cagayan de Oro,Both,2,6596.2,2024-08-28,551,2024-02-04,At Risk
CUST-1146,William Kelley,scruz@example.org,Silver,Cagayan de Oro,Online,1,6540.24,2024-01-25,767,2024-01-25,Slipping Away
CUST-1180,Richard Miller,christopherlee@example.com,Bronze,NCR,In-Store,1,6501.8,2023-04-28,1039,2023-04-28,Slipping Away
CUST-1110,Sean Townsend,williamsonanthony@example.net,Gold,Iloilo,Online,3,6385.3,2024-02-04,757,2023-01-10,At Risk
CUST-1389,Ricky Davis,christy58@example.net,Bronze,Batangas,In-Store,2,6315.68,2023-05-15,1022,2023-01-29,At Risk
CUST-1355,Brian Morrison,castillomichelle@example.com,Gold,Cebu,Both,3,6303.6,2024-06-10,630,2023-11-10,At Risk
CUST-1369,Richard Douglas,leblancdominic@example.org,Silver,Batangas,Both,1,6301.54,2023-09-28,886,2023-09-28,Slipping Away
CUST-1278,Tracy Boyer,aanderson@example.net,Bronze,NCR,Both,3,6266.49,2024-09-03,545,2023-06-14,At Risk
CUST-1073,Devin Pena,idickerson@example.net,Bronze,NCR,Online,2,5992.78,2024-04-13,688,2023-04-23,At Risk
CUST-1386,Rebecca Hurst,vsanchez@example.org,Silver,Batangas,Both,3,5931.48,2023-06-22,984,2023-02-25,At Risk
CUST-1198,David Jones,wayne92@example.com,Silver,Cagayan de Oro,Both,2,5820.85,2024-07-23,587,2024-05-06,At Risk
CUST-1182,Samuel Morgan,ucummings@example.com,Bronze,Cagayan de Oro,Both,2,5819.18,2024-06-20,620,2024-04-05,At Risk
CUST-1387,David Sawyer,starkharold@example.com,Bronze,Cebu,In-Store,1,5789.76,2023-12-21,802,2023-12-21,Slipping Away
CUST-1297,Paul Sanchez,brownapril@example.org,Bronze,Cebu,Online,4,5752.11,2023-12-09,814,2023-02-28,At Risk
CUST-1126,David Compton,ramirezmichael@example.net,Bronze,Iloilo,In-Store,4,5705.92,2024-03-12,720,2023-01-28,At Risk
CUST-1374,Michael Garrett,benjamin52@example.com,Bronze,NCR,In-Store,1,5672.24,2023-02-08,1118,2023-02-08,Slipping Away
CUST-1025,Mark Hall,julie57@example.com,Gold,Cagayan de Oro,In-Store,3,5663.67,2023-10-06,878,2023-03-01,At Risk
CUST-1246,Carrie Jones,laurawallace@example.net,Silver,Cebu,Both,1,5637.65,2023-09-14,900,2023-09-14,Slipping Away
CUST-1158,Chelsey Robbins,amberhart@example.com,Bronze,Laguna,Online,2,5591.68,2024-03-05,727,2023-02-02,At Risk
CUST-1313,Angie Morris,phillipstaylor@example.net,Bronze,Pampanga,Online,3,5577.54,2024-06-19,621,2023-03-22,At Risk
CUST-1296,Jaclyn Weaver,gabriel18@example.org,Bronze,Iloilo,Online,1,5573.76,2023-08-20,925,2023-08-20,Slipping Away
CUST-1002,Cheryl Cuevas,uwhite@example.org,Silver,Unknown,Both,3,5546.68,2024-04-11,690,2023-11-26,At Risk
CUST-1120,Connor Johnson,kimberly53@example.com,Silver,Davao,Online,1,5502.96,2023-05-22,1015,2023-05-22,Slipping Away
CUST-1291,Angela Wright,davismargaret@example.net,Bronze,Davao,Online,1,5439.48,2024-02-28,733,2024-02-28,Slipping Away
CUST-1354,Richard Barnes,thomaswest@example.org,Gold,Batangas,In-Store,3,5384.04,2024-06-29,611,2023-07-12,At Risk
CUST-1304,Benjamin Madden,richardclark@example.net,Bronze,Pampanga,Both,2,5192.18,2024-06-07,633,2023-07-14,At Risk
CUST-1041,Renee Shaw,wtaylor@example.net,Bronze,Cagayan de Oro,In-Store,1,5148.72,2023-05-02,1035,2023-05-02,Slipping Away
CUST-1091,Anthony Wheeler,valeriejones@example.net,Gold,Davao,Both,4,5118.65,2024-05-24,647,2023-07-23,At Risk
CUST-1394,Dawn Simpson,othompson@example.net,Bronze,Cebu,Both,1,4927.26,2024-01-06,786,2024-01-06,Slipping Away
CUST-1140,Matthew Bender,bradwest@example.com,Gold,Laguna,Online,1,4909.14,2023-03-22,1076,2023-03-22,Slipping Away
CUST-1016,Keith Mclaughlin,taylor37@example.net,Bronze,Unknown,Online,2,4879.92,2023-12-21,802,2023-05-08,At Risk
